"","date","F.Close","GE.Close","MSFT.Close"
"164",2017-08-25,10.82,24.49,72.82
"165",2017-08-28,10.79,24.469999,72.830002
"166",2017-08-29,10.84,24.440001,73.050003
"167",2017-08-30,10.94,24.280001,74.010002
"168",2017-08-31,11.03,24.549999,74.769997
"169",2017-09-01,11.35,25.139999,73.940002
"170",2017-09-05,11.36,24.75,73.610001
"171",2017-09-06,11.5,24.92,73.400002
"172",2017-09-07,11.4,24.02,74.339996
"173",2017-09-08,11.36,23.82,73.980003
"174",2017-09-11,11.41,23.719999,74.760002
"175",2017-09-12,11.59,23.91,74.68
"176",2017-09-13,11.62,24.110001,75.209999
"177",2017-09-14,11.56,24.26,74.769997
"178",2017-09-15,11.62,23.93,75.309998
"179",2017-09-18,11.63,24.459999,75.160004
"180",2017-09-19,11.72,24.200001,75.440002
"181",2017-09-20,11.71,24.32,74.940002
"182",2017-09-21,11.72,24.75,74.209999
"183",2017-09-22,11.84,24.870001,74.410004
"184",2017-09-25,11.94,25.110001,73.260002
"185",2017-09-26,11.93,24.93,73.260002
"186",2017-09-27,11.95,24.370001,73.849998
"187",2017-09-28,11.96,24.24,73.870003
"188",2017-09-29,11.97,24.18,74.489998
"189",2017-10-02,12.09,24.57,74.610001
"190",2017-10-03,12.34,24.799999,74.260002
"191",2017-10-04,12.3,24.48,74.690002
"192",2017-10-05,12.25,24.540001,75.970001
"193",2017-10-06,12.31,24.389999,76
"194",2017-10-09,12.34,23.43,76.290001
"195",2017-10-10,12.39,23.360001,76.290001
"196",2017-10-11,12.38,23.07,76.419998
"197",2017-10-12,12.12,23.049999,77.120003
"198",2017-10-13,12.05,22.98,77.489998
"199",2017-10-16,12.12,23.360001,77.650002
"200",2017-10-17,12.27,23.190001,77.589996
"201",2017-10-18,12.19,23.120001,77.610001
"202",2017-10-19,12.23,23.58,77.910004
"203",2017-10-20,12.1,23.83,78.809998
"204",2017-10-23,12.04,22.32,78.830002
"205",2017-10-24,12.19,21.889999,78.860001
"206",2017-10-25,12.04,21.5,78.629997
"207",2017-10-26,12.27,21.32,78.760002
"208",2017-10-27,12.06,20.790001,83.809998
"209",2017-10-30,12.1,20.41,83.889999
"210",2017-10-31,12.27,20.16,83.18
"211",2017-11-01,12.35,20.02,83.18
"212",2017-11-02,12.42,19.940001,84.050003
"213",2017-11-03,12.36,20.139999,84.139999
"214",2017-11-06,12.33,20.129999,84.470001
"215",2017-11-07,12.16,20.209999,84.269997
"216",2017-11-08,12.06,20.120001,84.559998
"217",2017-11-09,12.04,19.99,84.089996
"218",2017-11-10,12.01,20.49,83.870003
"219",2017-11-13,12.16,19.02,83.93
"220",2017-11-14,12.02,17.9,84.050003
"221",2017-11-15,12,18.26,82.980003
"222",2017-11-16,12.04,18.25,83.199997
"223",2017-11-17,12.01,18.209999,82.400002
"224",2017-11-20,12.13,17.98,82.529999
"225",2017-11-21,12.12,17.83,83.720001
"226",2017-11-22,12.07,18.15,83.110001
"227",2017-11-24,12.1,18.190001,83.260002
"228",2017-11-27,12.11,18.120001,83.870003
"229",2017-11-28,12.21,18.41,84.879997
"230",2017-11-29,12.56,18.48,83.339996
"231",2017-11-30,12.52,18.290001,84.169998
"232",2017-12-01,12.58,17.879999,84.260002
"233",2017-12-04,12.63,17.950001,81.080002
"234",2017-12-05,12.43,17.76,81.589996
"235",2017-12-06,12.38,17.66,82.779999
"236",2017-12-07,12.53,17.709999,82.489998
"237",2017-12-08,12.61,17.709999,84.160004
"238",2017-12-11,12.58,17.65,85.230003
"239",2017-12-12,12.6,17.91,85.580002
"240",2017-12-13,12.63,17.76,85.349998
"241",2017-12-14,12.46,17.639999,84.690002
"242",2017-12-15,12.58,17.82,86.849998
"243",2017-12-18,12.66,17.76,86.379997
"244",2017-12-19,12.69,17.59,85.830002
"245",2017-12-20,12.72,17.450001,85.519997
"246",2017-12-21,12.63,17.469999,85.5
"247",2017-12-22,12.58,17.5,85.510002
"248",2017-12-26,12.6,17.43,85.400002
"249",2017-12-27,12.5,17.379999,85.709999
"250",2017-12-28,12.58,17.360001,85.720001
"251",2017-12-29,12.49,17.450001,85.540001
